项目名称,相关介绍,历史渊源,传承人物,status
八仙传说,,,,Failed
八大处传说,"八大处传说，北京市石景山区民间文学，国家级非物质文化遗产之一。

是北京市的民间传说故事。八大处是京西著名的寺庙园林，为太行余脉,最高峰海拔464米。三山之中，从隋唐至明清时期修建了数十座寺庙，其中遗存的八座寺庙基本保持完整，史称“八大刹”，俗称“八大处”。 八大处的深厚文化内涵中不仅包含着佛教文化，更包涵着浓郁的文化特色，这便长期流传在八大处附近村庄的百姓和信男信女们中的美丽传说。

2021年5月24日，八大处传说经中华人民共和国国务院批准列入第五批国家级非物质文化遗产代表性项目名录，项目编号：Ⅰ-156。","八大处传说代代口耳相传。有歌颂美好爱情的；有改造自然、共建美好家园的；有关于帝王轶事的……最为著名的当属卢师山大小青龙的传说故事，此传说不仅有碑文为凭，各种史书典籍、诗书文章也多有记载。如今，八大处附近陈家沟、板凳沟等村庄的老百姓对这些传说都耳熟能详。

八大处以景点和佛教文化为核心，传说的特点是既与八大处的景物相得益彰，又与佛教文化相融合，使传说又物化的载体，生动形象。同时劝人弃恶从善的传说在佛教文化之地，更容易起到惩恶扬善的教化效应。

八大处传说融合了佛教文化和民间文化，宣扬弃恶扬善的精神，歌颂了老百姓的智慧与善良，具有很高的认识和审美价值；八大处的证果寺因卢师和大小青龙的传说而建寺，并名闻京师，是研究民间文学的宝贵资料；八大处近几年来旅游业迅猛发展，及时挖掘、整理传说故事，不仅可以保护民间文化，必将极大的提升八大处的文化内涵。",,Success
八达岭长城传说,,,,Failed
禅宗祖师传说（六祖传说）,,,,Failed
刘三姐歌谣,,,,Failed
刘伯温传说,,,,Failed
刘阮传说,,,,Failed
刻道,,,,Failed
包公故事,,,,Failed
童谣（北京童谣）,,,,Failed
北票民间故事,"北票民间故事，辽宁省北票市地方民间文学，国家级非物质文化遗产之一。

2008年6月7日，北票民间故事经中华人民共和国国务院批准列入第二批国家级非物质文化遗产名录，遗产编号为Ⅰ-52。","内容架构

北票民间故事，包括风物传说、人物传说、幻想故事、生活故事、动植物故事、风俗故事、笑话、寓言八大类。 

艺术特征

北票民间文学特别是以尹湛纳希、惠宁寺为代表的地方人物、风物故事体现了本地区蒙汉文化交融的独特魅力，具有刚健质朴的艺术风格，在结构、语言、典型化等方面有自己的特色。 

基本组成

1984年，北票市文化部门编辑了民间故事集《吐默特的歌声》。1985—1987年，在国家重大人文科研项目“民间文学三套集成工程”中，编辑了五十万字的《中国民间文学集成·辽宁卷·北票资料本》。其后，北票市还陆续编辑了《北票民间文学选刊》。2004年，北票市文化馆退休干部郭丰久自费编辑印刷了民间故事集《桃花山的传说》。",,Success
卢沟桥传说,,,,Failed
古渔雁民间故事,,,,Failed
召树屯与喃木诺娜,"召树屯与喃木诺娜，云南省西双版纳傣族自治州民间文学，国家级非物质文化遗产名录之一。

《召树屯与喃木诺娜》是一部以爱情为主线的叙事长诗。长诗产生于封建领主制中期，即傣族封建领主政权最兴盛、南传上座部佛教最兴旺的时代，但它表述的却不是佛教出家修行的思想，而是对生活和爱情的赞美。

2008年6月7日，召树屯与喃木诺娜经国务院批准列入第二批国家级非物质文化遗产名录，项目编号：Ⅰ-67。","关于《召树屯》的渊源问题，学者们议论纷纭，看法不一。

第一种看法

《召树屯》就在本地出生。王松认为《召树屯》是从西双版纳长诗《召洪罕和捕拜芳》及德宏长诗《召西纳》等反映渔猎生活的作品发展而来的。继而又根据金平傣族的《地上的西顿和天上的西顿》指出《搜神记》卷十四的叹毛衣人演变为《召西纳》和《召洪罕与隽拜芳》，同时又演变成《地上的西顿和天上的西顿》，再次演变成《召树屯》。晒姚宝暄则将新疆卫拉特蒙古族中的传说《格拉斯青》与《召树屯》《牛郎织女》作比较，认为叹召树屯《格拉斯青》不是舶来品，而是国产物。但都受了《牛郎织女》早期内容情节的影响。  

第二种看法

认为《召树屯》故事原型源于印度。谢远章指出佛经《素吞本生经》的题材源于印度传说，随着佛教的传播到泰国，在公元至世纪被兰那僧人编入巴利语《班雅萨阁陀逸》中的第二篇，后来《班雅萨》流传到了老挝、柬埔寨、缅甸和西双版纳地区。李沉也认为《召树屯》源于印度。蒋述卓将《六度集经·明度无极章》与《召树屯》诺桑王子随行比较后认为后二者都直接来源于印度佛本生故事，它们只不过同源于一种佛本生故事，但在传入路线、传入时间上却又各不相同而已。东方既晓则从汉译佛经六度集经及根本说一切有部毗奈耶药事卷十三、十四里找到了源于印度的依据。 

第三种看法

可称之为“回流说”。即故事原产地在中国，传至印度后再随佛教文化回流中国。又有二说一是刘守华指出，前两种看法都有一定道理，但各执一端，又有片面性，不符合这个故事在南亚地区纵横交错的文化交流网络中经历复杂演变的实际情况孔雀公主故事已形成巨大的故事圈，它的故事原型出自中国至于传入印度的路线，他先是认为“古代越人带着《毛衣女》这样的故事种子向南迁徙，佛教徒吸收民间流传的孔雀公主故事，加以改编，于是成为《素吞本生经》，进入了经书。又随着佛教文化的传播，进入中国云南、四川等地的傣族和藏族地区，演变成《召树屯和兰吾罗娜》《诺桑王子》。后来又认为，中国的孔雀公主故事经丝绸之路传入南亚，最后成型于印度，再回流中国境内，演变成《召树屯》《诺桑王子》《格拉斯青》等作品。二是李佳俊提出，故事原产地在西藏阿里，传入印度后，再经东南亚传入西双版纳等地。",,Success
司岗里,"云南的西部、西南部和缅甸毗连，临沧市正是位于云南省西南部，辖1区、4县、3自治县。有汉、佤、彝、傣、拉祜、布朗、白、傈僳等民族。总的来说，是一个多少数民族的地方。“司岗里”是佤族民间流传的古老传说，“司岗”是崖洞的意思，“里”是出来，“司岗里 ”就是从岩洞里出来，特指的地理位置在西盟县岳宋乡南锡河对面缅属岩城附近名巴格岱的地方。也是佤族人的一部创世史诗。

2008年6月7日，司岗里经国务院批准列入第二批国家级非物质文化遗产名录。","临沧市属横断山纵谷地区南部，地势东北高，西南低，永德大雪山为最高点，海拔3504米。最低点南汀河出境处，海拔450米，属亚热带山地季风气候，年平均气温为17.3摄氏度。是云南橡胶、紫胶、甘蔗、胡椒、砂仁等热带作物基地之一。茶叶产量占全省总产量1/3以上。地下有丰富的贵重矿产和水能资源。

沧源县佤族自治县，位于临沧市最南端，西、南与缅甸相接。少数民族人口占总人口的80%以上。

神秘的“司岗里”，含义为葫芦、山洞或孕育器的意思，沧源古时又称“葫芦王地”，是佤族创世史诗“司岗里”传说诞生的地方。这些可爱的佤族男男女女正是从司岗里山洞中走出来的……",,Success
宝卷（吴地宝卷）,,,,Failed
吴歌,,,,Failed
哈尼哈吧,哈尼哈吧，中国哈尼族民间文学的重要组成部分。“哈尼哈吧”哈尼语意为哈尼古歌，是哈尼族社会生活中流传广泛、影响深远的民间歌谣，是有别于哈尼族山歌、情歌、儿歌等种类的庄重、典雅的一种古老歌唱调式。“哈尼哈吧”涉及哈尼族古代社会的生产劳动、宗教祭典、人文规范、伦理道德、婚嫁丧葬、吃穿用住、文学艺术等，是世世代代以梯田农耕生产生活为核心的哈尼人教化风俗、规范人生的“百科全书”。被誉为“无文字的百科全书”，文化“活化石”。于2008年3月申报为第二批国家级非物质文化遗产名录。,“哈尼哈吧”流传于滇南哀牢山区红河哈尼族彝族自治州红河南岸元阳、红河、绿春、金平县以及建水县坡头乡、普雄乡等哈尼族聚居地区。这里山高谷深、沟壑纵横，山有多高，水有多高，雨量充沛，气候温和，呈现“一山分四季，十里不同天”的立体气候特征，最适合梯田稻米的生长。这里的哈尼梯田是世界上梯田稻作面积集中连片最大的区域，达80多万亩。独特的地理气候条件和勤劳的哈尼族和当地的其他世居民族用双手创造了世界上规模最大的农耕梯田。作为梯田的首创者之一和最大的发扬者──哈尼族，其梯田耕作历史悠久、耕作面积最广、农耕技术最精深。由于哈尼人的生存发展依赖于梯田的开垦发展，因而梯田也深刻地影响了哈尼族生产生活的方方面面，从而形成了独特、完整的梯田农耕文化现象。哈尼族历史上没有文字，农耕生产生活知识的传播完全靠口传心授，“哈尼哈吧”便成为重大节庆活动和朋友聚会场合中传承文化知识的主要方式。,,Success
谚语（哈萨克族谚语）,,,,Failed
哈萨克族达斯坦,"哈萨克族达斯坦，新疆维吾尔自治区沙湾县、福海县、文学艺术界联合会民间文艺家协会民间文学，国家级非物质文化遗产之一。

2008年6月7日，哈萨克族达斯坦经经中华人民共和国国务院批准列入第二批国家级非物质文化遗产名录，项目编号是Ⅰ-72。","达斯坦流传于新疆哈萨克族聚居地区，是哈萨克族民间文学中最古老、最受人喜爱的文学种类，是一种历史悠久的民间说唱艺术，歌颂了哈萨克族青年为争取婚姻自由而勇于反抗压迫的斗争精神。 

哈萨克族达斯坦包括神话、传说及内容丰富的生活故事等，是哈萨克族民间文学中最古老、最受人喜爱的文学种类，其创作与哈萨克族历史上的重大事件有关，主要分布在新疆哈萨克族居住的28个县内。哈萨克族达斯坦内容丰富，情节曲折，多以叙事为主，传承的诗歌较为古老，是哈萨克族人民在节日、聚会、婚礼等喜庆日子里必不可少的表演项目，它是哈萨克族生活的真实写照，表现了哈萨克族的社会状况与民俗风情。 

哈萨克族达斯坦涵括了哈萨克族古代神话、传说、诗歌、谚语和故事等，是在丰厚的民间文学基础上形成和发展起来的，约有二百多部长诗以口耳相传方式流播。哈萨克族民间达斯坦一般有比较固定的曲调，演唱多用冬不拉伴奏，根据内容可分为英雄长诗、爱情长诗、历史长诗等。",,Success
喀左东蒙民间故事,"喀左东蒙民间故事，辽宁省喀喇沁左翼蒙古族自治县地方传统民间文学，国家级非物质文化遗产。

明崇祯八年（1635年）至清康熙年间，随着生活方式的改变，喀喇沁人民创造和丰富了具有东蒙地域特色的民间故事。喀左东蒙民间故事吸纳了中原汉民族农耕文化的营养，对定居东蒙后的农耕生活有全方位、广角度的反映，因而形成了与草原蒙古族民间文学“同中有异”的文化特色。

2006年5月20日，喀左东蒙民间故事经中华人民共和国国务院批准列入第一批国家级非物质文化遗产名录。编号：Ⅰ-19。",喀喇沁及东蒙各部是蒙古族的古老部族，最早生活在茂密的森林地带，以狩猎和采集野果为生，后来逐渐走出森林，向广阔的蒙古高原迁徙，转而从事春牧业。明朝中期，喀喇沁部由自己的家乡贝加尔湖逐斩游牧创西拉木伦河以南，占据了渤海湾以西、长城以北的大片朝域。明崇祯八年（1635年）至清康熙年间，喀喇沁先后被划分为左，中，在三旗，随着汉民族的大批迁入，生活方式也随之改变。在出猎转牧，由牧而农的历史过程中，喀喇沁人民创造和丰富了具有东蒙地域特色的民间故事。,刘永芹，女，1947年12月出生。辽宁省建昌县娘娘庙乡吕杖子村人。讲述民间故事128篇，其中故事82篇，笑话46则。主要代表作品《一缸银子变蛤蟆》《小利和大利》等。2009年5月26日，刘永芹入选为第三批国家级非物质文化遗产项目代表性传承人，辽宁省喀喇沁左翼蒙古族自治县申报。项目名称：喀左东蒙民间故事。,Success
嘉黎民间故事,,,,Failed
嘎达梅林,"嘎达梅林（1892年—1931年4月5日），蒙古族，莫勒特图.那达木德，汉名孟青山，又名业喜，蒙古族传奇英雄。

1893年，嘎达梅林出生在内蒙古哲里木盟（今通辽市）达尔罕旗（今科尔沁左翼中旗）腰茫哈苏木（今舍伯吐镇）塔木扎兰屯（今塔本扎兰嘎查）。16岁到达尔罕旗卫队当兵服役，历任旗卫队章京、昆都、扎兰、梅林（皆为官职名），掌管全旗130名的骑兵卫队，后因反对达尔罕王和军阀开垦草原而被捕入狱。被妻子牡丹搭救越狱后，嘎达梅林于1929年冬至1931年春率众起义，举行武装反垦暴动，转战于科尔沁草原，最后战死在黄花敖包脚下的乌力吉木红河（新开河），终年38岁。

由嘎达梅林掀起的这场反军阀反封建的武装斗争震撼了科尔沁草原，唤醒了草原人民与封建蒙古王公和东北军阀进行斗争的勇气。许多年过去了，嘎达梅林的英雄事迹凝结成一部悲壮的史诗，《嘎达梅林》交响曲、音乐会等多种形式演绎的传奇故事将嘎达梅林精神传诵。2002年，由著名导演冯小宁执导的电影《嘎达梅林》率先将这个故事展现在全国观众面前，如今，电视剧在央视的热播，令《嘎达梅林》这首草原英雄之歌再次广为流传。","嘎达梅林读过几年私塾，通蒙汉文。历任旗卫队章京、昆都、扎兰、梅林等职。1908年，在达尔罕旗旗卫队当兵服役，5年后被提升为旗卫队章京。1916年被任命为旗卫队的扎兰（参领），1925年被提升为旗军务梅林（统领）。后因拒绝达尔罕王福晋要把旗卫队收租的土地交给王府支配而被撤职。 

从清朝末期开始，为巩固边疆外防，阻止沙皇俄国进一步侵略，中央政府开始逐渐在蒙旗开垦土地，汉族民众被迁入成为佃农。中华民国成立后，1914年2月，民国政府内务、农商、财政等部及蒙藏事务局联合制定《禁止私放蒙荒通则》和《垦辟蒙荒奖励办法》，准备大兴蒙垦。从1916年，奉系军阀张作霖开始大量放垦。放垦戍边增强了边防，促进当地的经济发展，但也损害了蒙古族牧民的利益。从1904年的白音大赉起义开始，抗垦起义此起彼伏。 

张作霖与常住奉天（沈阳）的那木济勒色楞王爷商定开垦该旗的大片草原为农耕地，到1928年达尔罕旗四分之三的土地被放垦，牧场缩小，牧民被迫背井离乡，引起当地牧民的不满。嘎达梅林多次到垦务局反对开垦，被免职。

1929年初，“东北易帜”后不久，张学良继续开垦蒙旗土地的计划。嘎达梅林等人发起“独贵龙运动”，即所有请愿的人在纸上围着一个圆圈签名以隐藏领头人，去沈阳向那木济勒色楞请愿。7月26日请愿代表色仁尼玛、赵舍旺、僧格嘎如布和嘎达梅林被捕，被押回本旗投入监牢。11月13日夜嘎达梅林的妻子牡丹其其格伙同一些人劫牢反狱，将嘎达梅林救出。于是嘎达梅林组织起义，领导了一支700多人的抗垦军队，提出了“打倒测量局，不许抢掠民财”的口号，袭击垦务局和垦荒军，驱逐测量队，转战于昭乌达盟（今赤峰市）、哲里木盟一带。

张学良命张海鹏部一个骑兵团和汤玉麟属下东北骑兵第17旅李守信团出兵围剿。1931年4月5日，抗垦队伍在今通辽北舍伯吐附近新开河（今乌力吉木仁河）畔的红格尔敖包屯渡口，准备渡河南去时，被包围歼灭，嘎达梅林战死。李守信割下了嘎达梅林的头，回开鲁送给崔兴武旅长，崔兴武用木匣包装送汤玉麟。汤玉麟又交给了达尔罕亲王，并在旗内悬挂示众。后来在乌力吉木伦河边民众修建了梅林庙。

五个月后，九一八事变爆发，张学良的东北军撤入关内，牧垦草原的计划没有得以继续实施。",,Success
四季生产调,,,,Failed
回族民间故事,"回族民间故事，宁夏回族自治区固原市泾源县民间文学，国家级非物质文化遗产之一。

2014年11月11日，回族民间故事经中华人民共和国国务院批准列入第四批国家级非物质文化遗产名录，项目编号：Ⅰ-144。","保护措施

2019年11月，《国家级非物质文化遗产代表性项目保护单位名单》公布，泾源县文化馆获得“回族民间故事”项目保护单位资格。 

2023年10月，《国家级非物质文化遗产代表性项目保护单位名单》公布，回族民间故事项目评估合格，泾源县文化馆获得该项目保护单位资格。",,Success
土家族哭嫁歌,"土家族哭嫁歌，湖南省土家族民间文学，国家级非物质文化遗产之一。

聚居在湘鄂渝黔边区的土家族，是一个古老文明的民族，有着悠久的历史和传统的习俗，在婚俗方面保留着浓郁的民族特色。土家族哭嫁歌是由待嫁新娘及其女亲友们演唱的抒情性歌谣。它是在特定历史时期女性出嫁时宣泄心中真情实感的一种演唱形式，也是新娘为了表达离别之情，被誉为“中国式的咏叹调”。

2011年5月23日，湖南省永顺县、古丈县联合申报的“土家族哭嫁歌”经国务院批准列入第三批国家级非物质文化遗产名录。遗产编号：I-112。","根据南宋时进士周去非《岑外代答》卷四《风土门·送老》，其中记载：“岭南嫁女之日，新人盛饰庙坐，少女亦盛饰夹辅之，迭相歌和，含情凄婉，各致殷勤，名曰‘送老’，言将别年少之伴，送之偕老也。其歌也，静江人倚《苏幕遮》为声，钦人倚《人月圆》，皆临机自撰，不肯蹈袭，其间乃有绝佳者。凡送老皆在深夜，乡党男子群往观之，或于稠人中发歌，以调女伴，女伴知其谓谁，亦歌以答之，颇穷中其家之隐匿，往往以此致争，亦或以此心许。”土家族属于岭南的少数民族之一，记载的内容也与土家族哭嫁婚俗完全吻合，这或许正是对土家族哭嫁婚俗的记载。

到了清代，土家族的哭嫁习俗有了明确的记载。清乾隆时期鄂西土家诗人彭秋潭（1748 ~1808）的《秋潭诗集》中就有记述土家哭嫁歌的《竹枝词》：“十姊妹歌歌太悲，别娘顿足泪沾衣。宁乡地近巫山峡，犹似巴娘唱竹枝。""诗人还注解说：“恋亲恩，伤别离，歌为曼声，甚哀，泪随声下，是‘竹枝'遗意也。其词有曰：‘长大成人要别离，别娘一去几时归；别娘纵有归来日，能得归来住几时？妹妹去，哥也伤心嫂伤心。门前一道清江水，妹来看娘莫怕深……”清代的土家诗人田让升也作有描述土家族哭嫁的竹枝词：“桃夭时节卜佳期，无限伤心叙别离。呼娘呼嫂呼姐妹，情意绵缠泪如丝。”土家诗人王伟也作有描述土家族哭嫁的竹枝词：“一家女儿新嫁郎，十家女儿陪新妆。红灯四壁云垂地，彻夜笙歌漏正长。”

清代的一些地方志中也记载了土家族的哭嫁习俗。如嘉庆年间湖南的《宁远县志》卷二，记下了该省南部五个州县哭嫁歌的流行情况：“宁俗，于嫁女前一夕，具酒遐，集妇女歌唱。歌阕，母女及诸故伯姊，环向而哭，循叠相继，达曙乃止。此风不知始于何时，而道、宁、永、江、新五州，如出一辙。”清《嘉禾县志》也有记载：“嫁女前夕，具酒饿，集妇女歌唱。歌阕，母女及村姑伯姨，相向而哭，循叠相继，达曙乃止”。利川、恩施、建始、巴东、鹤峰、咸丰、宣恩，来凤等地的地方志也有类似记载，但普遍不称“哭嫁歌”，而称为“十姊妹歌”。

从哭嫁歌文本内容来看，涉及封建社会生活较多，再综合前述，可以推测土家族的哭嫁习俗兴起于唐、宋时期，盛行于明清时期。改土归流至民国末年，哭嫁之俗尤甚，有“不哭不发，越哭越发”之说。中华人民共和国建立后，中国社会发生了翻天覆地的变化，旧的婚姻家庭制度大变革，哭嫁习俗失去生存的土壤，渐趋消亡。但是，土家族聚居区处在长江上游与长江中游的交接地带，“连山叠岭和险峡急流，地僻民贫，易守难攻，历史的节拍比外围地区舒缓。北起大巴山，中经巫山，南过武陵山，止于南岭，是一条文化沉积带。古代的许多文化事象，在其他地方已经绝迹或濒临绝迹了，在这个地方却尚有遗踪可寻。”哭嫁歌便是其中一例，八十年代在该地许多地方仍然流行“陪十姊妹""风俗。直至当代，在偏远的山区（如渝鄂交界的七曜山土家族聚居区），也还有姑娘在出嫁时哭嫁。只不过表达的情感仅仅是与父母亲人的离愁别绪，没有对婚姻不满的宣泄。

虽然哭嫁之俗在石柱曾盛行，至今尚存哭嫁遗俗，但有关石柱土家族哭嫁歌的文献材料却很少见。究其原因，一是石柱土家族在改土归流以前文教不兴，没有任何典籍留存于世。二是编修于乾隆时期的《石硅厅志》（是已发现的石柱最早的典籍）重文不重经，重人不重事，对风俗的记载极为简略和偏颇。中华人民共和国建立后，首轮《石柱县志》对石柱的哭嫁习俗有了明确的记载。

虽然石柱在中华人民共和国建立前的典籍未记载哭嫁习俗，但在民间不仅哭嫁之风盛行，而且还流传着“哭嫁歌”的手抄本。",严水花，女，第五批国家级非物质文化遗产代表性项目代表性传承人，项目名称：土家族哭嫁歌。,Success
土家族梯玛歌,,,,Failed
